"10540: Registrerte arbeidsledige (prosent), etter måned, alder og region"
"måned;""Registrert helt arbeidsledige 15-74 år 1101 Eigersund"";""Registrert helt arbeidsledige 15-74 år 1103 Stavanger"";""Registrert helt arbeidsledige 15-74 år 1106 Haugesund"""
2014M01;2.1;2.0;3.2
2014M02;2.1;1.9;3.3
2014M03;2.1;1.9;3.3
2014M04;1.8;1.9;3.2
2014M05;1.8;1.9;3.1
2014M06;2.0;1.9;3.1
2014M07;2.4;2.0;3.0
2014M08;2.3;2.0;3.4
2014M09;1.8;2.0;3.7
2014M10;2.0;2.1;3.4
2014M11;2.2;2.1;3.4
2014M12;2.0;2.2;3.4
